step_num,-gneE0,-gneE1,-gneE2,-gneE3
506,765.0,550.0,768.0,479.0
507,777.0,569.0,780.0,498.0
508,790.0,590.0,792.0,517.0
509,801.0,609.0,804.0,536.0
510,730.0,630.0,729.0,557.0
511,663.0,651.0,659.0,578.0
512,593.0,673.0,588.0,600.0
513,603.0,695.0,521.0,616.0
514,534.0,719.0,453.0,636.0
515,469.0,741.0,460.0,657.0
516,478.0,764.0,469.0,680.0
517,412.0,788.0,399.0,700.0
518,346.0,812.0,330.0,720.0
519,279.0,836.0,335.0,742.0
520,213.0,860.0,266.0,766.0
521,150.0,884.0,201.0,790.0
522,156.0,908.0,206.0,811.0
523,93.0,932.0,210.0,835.0
524,98.0,956.0,215.0,859.0
525,102.0,980.0,220.0,883.0
526,41.0,1004.0,156.0,907.0
527,44.0,1028.0,90.0,931.0
528,46.0,1052.0,27.0,955.0
529,51.0,1076.0,29.0,979.0
530,57.0,1100.0,30.0,1003.0
531,61.0,1124.0,36.0,1027.0
532,68.0,1148.0,40.0,1051.0
533,76.0,1172.0,45.0,1075.0
534,79.0,1196.0,50.0,1099.0
535,85.0,1220.0,52.0,1123.0
536,93.0,1244.0,57.0,1147.0
537,98.0,1268.0,65.0,1171.0
538,106.0,1292.0,73.0,1195.0
539,111.0,1316.0,81.0,1219.0
540,122.0,1252.0,90.0,1157.0
541,128.0,1189.0,94.0,1098.0
542,139.0,1128.0,100.0,1038.0
543,147.0,1067.0,110.0,983.0
544,157.0,1005.0,121.0,927.0
545,169.0,1024.0,133.0,946.0
546,170.0,962.0,143.0,889.0
547,182.0,980.0,156.0,907.0
548,190.0,918.0,170.0,849.0
549,201.0,935.0,184.0,794.0
550,214.0,871.0,198.0,810.0
551,227.0,887.0,213.0,826.0
552,239.0,822.0,228.0,765.0
553,253.0,761.0,244.0,781.0
554,267.0,775.0,260.0,721.0
555,282.0,714.0,276.0,662.0
556,298.0,727.0,292.0,606.0
557,315.0,663.0,308.0,615.0
558,330.0,675.0,325.0,628.0
559,348.0,687.0,343.0,640.0
560,364.0,699.0,361.0,652.0
561,381.0,711.0,377.0,665.0
562,398.0,723.0,397.0,675.0
563,416.0,736.0,414.0,687.0
564,435.0,747.0,431.0,699.0
565,452.0,759.0,450.0,711.0
566,470.0,771.0,470.0,725.0
567,488.0,783.0,491.0,735.0
568,508.0,795.0,510.0,748.0
569,528.0,807.0,532.0,759.0
570,547.0,730.0,552.0,693.0
571,568.0,658.0,573.0,625.0
572,589.0,668.0,594.0,559.0
573,608.0,601.0,616.0,494.0
574,629.0,611.0,637.0,429.0
575,650.0,544.0,659.0,365.0
576,670.0,476.0,682.0,303.0
577,692.0,407.0,703.0,243.0
578,714.0,414.0,725.0,249.0
579,737.0,346.0,748.0,191.0
580,760.0,281.0,771.0,195.0
581,784.0,216.0,795.0,138.0
582,808.0,148.0,819.0,83.0
583,832.0,84.0,843.0,90.0
584,856.0,87.0,867.0,31.0
585,880.0,94.0,891.0,34.0
586,904.0,97.0,915.0,37.0
